N0582,N0816,N1594,N1882,N2550,N3375
0.197,0.129,0.187,0.131,0.241,0.191
0.14,0.113,0.291,0.068,0.145,0.29
0.161,0.087,0.392,0.06,0.143,0.265
0.139,0.088,0.297,0.06,0.176,0.49
0.158,0.118,0.298,0.151,0.149,0.229
0.165,0.133,0.228,0.152,0.148,0.091
0.166,0.131,0.228,0.147,0.182,0.349
0.293,0.131,0.194,0.139,0.209,0.268
0.536,0.128,0.316,0.127,0.165,0.235
0.239,0.131,0.206,0.068,0.193,0.223
0.246,0.131,0.236,0.069,0.36,0.344
0.176,0.128,0.273,0.062,0.147,0.271
0.159,0.13,0.233,0.061,0.156,0.325
0.142,0.131,0.143,0.065,0.136,0.168
0.137,0.292,0.165,0.113,0.14,0.177
0.136,0.166,0.156,0.104,0.141,0.233
0.137,0.299,0.203,0.197,0.142,0.08
0.137,0.229,0.353,0.192,0.14,0.079
0.136,0.306,0.411,0.196,0.14,0.07
0.147,0.2,0.355,0.192,0.14,0.17
0.165,0.233,0.651,0.182,0.141,0.177
0.166,0.178,0.585,0.293,0.142,0.168
0.189,0.149,1.134,0.176,0.138,0.231
0.268,0.134,0.395,0.122,0.135,0.284
0.209,0.131,0.332,0.399,0.134,0.268
0.207,0.29,0.365,0.3,0.136,0.244
0.275,0.262,0.593,0.084,0.138,0.311
0.296,0.281,0.691,0.062,0.255,0.248
0.207,0.285,0.373,0.068,0.321,0.16
0.184,0.203,0.887,0.072,0.239,0.149
0.207,0.15,0.264,0.116,0.134,0.162
0.268,0.137,0.176,0.151,0.133,0.138
0.357,0.133,0.164,0.151,0.13,0.12
0.199,0.129,0.165,0.153,0.13,0.114
0.186,0.129,0.146,0.149,0.129,0.103
0.172,0.128,0.219,0.066,0.13,0.098
0.179,0.128,0.182,0.067,0.131,0.115
0.169,0.127,0.184,0.073,0.134,0.114
0.14,0.111,0.114,0.073,0.133,0.113
0.171,0.088,0.179,0.065,0.133,0.113
0.165,0.088,0.134,0.065,0.136,0.111
0.189,0.121,0.172,0.069,0.219,0.106
0.158,0.26,0.145,0.073,0.203,0.103
0.265,0.21,0.298,0.068,0.168,0.179
0.183,0.243,0.229,0.126,0.139,0.211
0.149,0.149,0.354,0.144,0.14,0.121
0.362,0.091,0.498,0.259,0.19,0.253
0.243,0.13,0.258,0.153,0.179,0.394
0.279,0.129,0.409,0.184,0.151,0.285
0.444,0.129,0.353,0.09,0.138,0.29
0.21,0.131,0.431,0.07,0.132,0.33
0.214,0.129,0.375,0.076,0.131,0.616
0.137,0.127,0.221,0.074,0.131,0.768
0.14,0.128,0.247,0.065,0.131,0.332
0.117,0.128,0.204,0.064,0.137,0.334
0.14,0.129,0.231,0.071,0.212,0.298
0.137,0.125,0.291,0.073,0.142,0.437
0.115,0.129,0.218,0.064,0.141,0.312
0.138,0.129,0.219,0.102,0.161,0.292
0.137,0.126,0.343,0.153,0.184,0.29
0.117,0.128,0.231,0.155,0.317,0.397
0.134,0.287,0.559,0.145,0.187,0.296
0.137,0.226,0.701,0.142,0.198,0.17
0.136,0.256,0.376,0.101,0.194,0.29
0.136,0.188,0.328,0.073,0.161,0.411
0.136,0.34,0.745,0.069,0.179,0.422
0.115,0.287,0.547,0.065,0.151,0.363
0.148,0.242,0.284,0.065,0.181,0.361
0.165,0.147,0.367,0.221,0.183,0.451
0.143,0.134,0.285,0.114,0.132,1.131
0.169,0.398,0.32,0.103,0.131,0.916
0.155,0.857,0.408,0.105,0.131,0.225
0.144,0.355,0.325,0.133,0.22,0.287
0.211,0.307,0.344,0.221,0.285,0.292
0.183,0.296,0.32,0.313,0.245,0.438
0.213,0.346,0.349,0.292,0.253,0.4
0.207,0.222,0.407,0.24,0.255,0.337
0.181,0.261,0.345,0.13,0.218,0.278
0.387,0.265,0.3,0.068,0.214,0.177
0.255,0.25,0.351,0.073,0.176,0.14
0.193,0.198,0.215,0.068,0.117,0.123
0.199,0.165,0.149,0.067,0.117,0.083
0.178,0.16,0.152,0.065,0.117,0.079
0.199,0.18,0.139,0.072,0.115,0.091
0.21,0.159,0.17,0.071,0.114,0.074
0.179,0.132,0.123,0.064,0.114,0.076
0.176,0.134,0.163,0.063,0.113,0.08
0.13,0.13,0.139,0.132,0.113,0.072
0.156,0.13,0.141,0.154,0.112,0.073
0.142,0.137,0.141,0.151,0.113,0.077
0.164,0.273,0.144,0.142,0.115,0.078
0.126,0.169,0.174,0.128,0.115,0.07
0.134,0.204,0.167,0.062,0.115,0.065
0.117,0.246,0.366,0.069,0.116,0.063
0.156,0.384,0.204,0.18,0.149,0.069
0.121,0.228,0.349,0.083,0.116,0.075
0.128,0.177,0.226,0.121,0.114,0.364
0.125,0.14,0.273,0.068,0.262,0.228
0.148,0.125,0.228,0.075,0.141,0.218
0.305,0.097,0.45,0.075,0.138,0.312
0.175,0.094,0.428,0.069,0.152,0.304
0.159,0.202,0.371,0.143,0.256,0.563
0.16,0.174,0.251,0.15,0.251,0.542
0.232,0.256,0.461,0.154,0.243,0.951
1.147,0.346,0.263,0.293,0.323,0.422
0.366,0.203,0.262,0.146,0.312,0.364
0.221,0.131,0.273,0.15,0.318,0.277
0.211,0.132,0.239,0.86,0.367,0.159
0.505,0.131,0.273,0.192,0.266,0.09
0.235,0.13,0.232,0.311,0.365,0.081
0.312,0.12,0.262,0.282,0.261,0.078
0.432,0.089,0.356,0.155,0.147,0.157
0.283,0.09,0.259,0.183,0.131,0.202
0.296,0.12,0.325,0.203,0.225,0.344
0.274,0.139,0.956,0.286,0.145,0.207
0.312,0.515,0.763,0.154,0.138,0.215
0.263,0.858,0.595,0.074,0.136,0.382
0.254,0.432,0.913,0.077,0.134,1.125
0.378,0.89,0.321,0.068,0.175,0.26
0.245,0.283,0.332,0.069,0.183,0.279
0.192,0.311,0.374,0.077,0.188,0.432
0.168,0.219,0.32,0.074,0.183,0.744
0.176,0.224,0.434,0.067,0.182,0.592
0.169,0.446,0.258,0.115,0.185,0.258
0.2,0.289,0.308,0.163,0.178,0.222
0.174,0.338,0.278,0.254,0.177,0.218
0.199,0.288,0.199,0.149,0.139,0.141
0.18,0.16,0.149,0.117,0.129,0.114
0.194,0.138,0.143,0.073,0.128,0.148
0.182,0.137,0.154,0.077,0.136,0.117
0.169,0.137,0.166,0.075,0.135,0.114
0.13,0.129,0.147,0.069,0.136,0.08
0.123,0.131,0.142,0.07,0.135,0.075
0.134,0.131,0.15,0.073,0.135,0.08
0.122,0.13,0.147,0.077,0.136,0.076
0.136,0.093,0.138,0.073,0.131,0.072
0.135,0.088,0.143,0.144,0.128,0.072
0.164,0.109,0.155,0.153,0.127,0.078
0.141,0.133,0.232,0.153,0.13,0.071
0.144,0.131,0.206,0.154,0.136,0.065
0.237,0.132,0.383,0.122,0.135,0.067
0.222,0.132,0.296,0.067,0.242,0.078
0.251,0.131,0.236,0.066,0.194,0.166
0.202,0.129,0.228,0.066,0.159,0.131
0.182,0.132,0.426,0.184,0.137,0.071
0.185,0.131,0.306,0.115,0.13,0.074
0.534,0.131,0.377,0.067,0.132,0.541
0.224,0.227,0.269,0.069,0.13,0.337
0.205,0.202,0.397,0.137,0.129,0.22
0.277,0.709,0.306,0.316,0.129,0.212
0.424,0.234,0.423,0.185,0.129,0.141
0.602,0.171,0.318,0.186,0.129,0.103
0.338,0.679,0.363,0.202,0.156,0.073
0.28,1.887,0.353,0.425,0.152,0.07
0.203,1.004,0.306,0.197,0.256,0.121
0.203,0.886,0.355,0.156,0.161,0.159
0.177,0.136,0.291,0.154,0.134,0.653
0.219,0.14,0.3,0.15,0.133,0.23
0.224,0.177,1.047,0.116,0.133,0.143
0.376,0.135,0.952,0.156,0.133,0.205
0.171,0.133,1.505,0.177,0.132,0.233
0.299,0.133,1.776,0.188,0.132,0.107
0.217,0.305,0.362,0.194,0.137,0.201
0.246,0.401,0.3,0.167,0.237,0.234
0.415,1.007,0.321,0.126,0.287,0.298
0.203,0.351,0.313,0.06,0.252,0.329
0.263,0.404,0.313,0.067,0.331,0.299
0.313,0.295,0.355,0.068,0.33,0.242
0.235,0.238,0.383,0.062,0.271,0.437
0.238,0.215,0.329,0.059,0.182,0.596
0.416,0.237,0.325,0.064,0.231,0.465
0.261,0.262,0.391,0.069,0.246,0.375
0.231,0.508,0.138,0.074,0.235,0.315
0.292,0.336,0.195,0.153,0.196,0.129
0.36,0.217,0.139,0.16,0.166,0.096
0.325,0.142,0.301,0.145,0.14,0.105
0.367,0.133,0.235,0.153,0.138,0.118
0.33,0.129,0.148,0.116,0.145,0.144
0.34,0.126,0.152,0.14,0.134,0.115
0.335,0.127,0.151,0.088,0.135,0.089
0.214,0.126,0.159,0.068,0.135,0.077
0.16,0.125,0.136,0.065,0.14,0.077
0.159,0.122,0.166,0.064,0.134,0.078
0.158,0.088,0.124,0.069,0.133,0.072
0.142,0.084,0.143,0.07,0.133,0.073
0.174,0.107,0.149,0.063,0.134,0.077
0.138,0.126,0.133,0.062,0.134,0.072
0.273,0.28,0.271,0.143,0.133,0.174
0.162,0.258,0.173,0.144,0.132,0.147
0.413,0.134,0.415,0.145,0.132,0.097
0.186,0.124,0.207,0.212,0.159,0.187
0.27,0.11,0.904,0.166,0.13,0.348
0.146,0.084,0.517,0.109,0.129,0.18
0.209,0.084,0.812,0.068,0.129,0.404
0.165,0.117,0.345,0.07,0.138,0.212
0.169,0.127,0.313,0.073,0.212,0.331
0.147,0.125,0.476,0.073,0.19,0.207
0.149,0.125,0.353,0.067,0.14,0.194
0.175,0.121,0.351,0.064,0.139,0.191
0.154,0.124,0.735,0.064,0.14,0.198
0.264,0.125,0.329,0.113,0.144,0.215
0.294,0.121,0.306,0.152,0.143,0.262
0.263,0.124,0.275,0.15,0.192,0.258
0.233,0.125,0.315,0.245,0.147,0.266
0.228,0.097,0.296,0.217,0.218,0.22
0.189,0.082,0.354,0.066,0.142,0.422
0.129,0.086,0.329,0.146,0.14,0.264
0.138,0.132,0.947,0.107,0.14,0.304
0.136,0.341,1.13,0.086,0.14,0.463
0.142,0.244,0.669,0.102,0.141,0.263
0.213,0.375,0.311,0.103,0.158,0.093
0.374,0.256,0.292,0.337,0.14,0.182
0.337,0.168,0.348,0.612,0.144,0.14
0.208,0.187,0.291,0.605,0.183,0.218
0.183,0.212,0.293,0.647,0.146,0.298
0.207,0.686,0.296,0.657,0.138,0.257
0.228,0.725,0.325,0.669,0.138,0.235
0.231,0.304,0.323,0.688,0.185,0.326
0.397,0.354,0.327,0.409,0.312,0.258
0.199,0.517,0.426,0.159,0.255,0.158
0.196,0.366,0.335,0.11,0.302,0.19
0.241,0.24,0.197,0.064,0.303,0.088
0.231,0.164,0.138,0.062,0.161,0.074
0.276,0.138,0.172,0.062,0.129,0.072
0.232,0.131,0.139,0.063,0.128,0.07
0.227,0.13,0.168,0.063,0.13,0.073
0.194,0.127,0.116,0.068,0.129,0.074
0.18,0.127,0.166,0.069,0.13,0.075
0.177,0.127,0.132,0.11,0.129,0.108
0.15,0.127,0.154,0.152,0.13,0.118
0.161,0.126,0.151,0.145,0.129,0.138
0.137,0.124,0.132,0.144,0.13,0.114
0.182,0.126,0.165,0.139,0.129,0.081
0.137,0.125,0.113,0.071,0.13,0.073
0.161,0.125,0.166,0.059,0.128,0.064
0.272,0.127,0.249,0.062,0.13,0.08
0.244,0.377,0.219,0.062,0.129,0.236
0.284,0.173,0.36,0.064,0.129,0.108
0.356,0.127,0.274,0.063,0.159,0.269
0.185,0.126,0.292,0.271,0.136,0.192
0.208,0.126,0.235,0.164,0.127,0.193
0.161,0.125,0.238,0.063,0.239,0.067
0.143,0.122,0.212,0.064,0.144,0.81
0.154,0.123,0.34,0.095,0.148,0.25
0.142,0.125,0.291,0.142,0.142,0.239
0.154,0.126,0.4,0.139,0.141,0.252
0.143,0.123,0.236,0.137,0.19,0.193
0.163,0.125,0.213,0.135,0.164,0.192
0.162,0.125,0.404,0.093,0.152,0.198
0.488,0.127,0.275,0.063,0.151,0.258
0.229,0.124,0.265,0.061,0.152,0.195
0.174,0.126,0.241,0.231,0.162,0.186
0.17,0.126,0.196,0.215,0.156,0.295
0.185,0.124,0.246,0.175,0.159,0.168
0.182,0.141,0.209,0.135,0.155,0.256
0.196,0.338,0.564,0.327,0.155,0.386
0.176,0.224,0.812,0.222,0.223,0.351
0.192,0.33,0.817,0.273,0.171,0.275
0.331,0.292,0.371,0.16,0.174,0.215
0.19,0.499,0.321,0.135,0.14,0.335
0.213,0.372,0.347,0.139,0.168,1.263
0.172,0.274,0.319,0.142,0.137,0.706
0.185,0.282,0.647,0.14,0.134,0.436
0.197,0.301,0.572,0.134,0.139,0.263
0.388,0.283,0.971,0.135,0.136,0.292
0.309,0.379,0.401,0.294,0.136,0.295
0.325,0.23,0.329,0.392,0.204,0.228
0.257,0.215,0.344,0.577,0.34,0.17
0.467,0.364,0.335,0.254,0.255,0.165
0.203,0.289,0.159,0.239,0.311,0.092
0.249,0.203,0.164,0.092,0.255,0.091
0.255,0.134,0.144,0.072,0.194,0.071
0.248,0.126,0.159,0.067,0.125,0.074
0.228,0.127,0.135,0.062,0.127,0.074
0.158,0.125,0.155,0.063,0.125,0.079
0.148,0.125,0.15,0.066,0.126,0.075
0.161,0.125,0.14,0.069,0.126,0.079
0.151,0.124,0.17,0.07,0.126,0.08
0.125,0.125,0.141,0.103,0.127,0.076
0.137,0.126,0.173,0.146,0.126,0.072
0.132,0.126,0.125,0.147,0.126,0.069
0.155,0.124,0.169,0.147,0.125,0.069
0.148,0.124,0.128,0.145,0.129,0.102
0.199,0.127,0.202,0.085,0.128,0.202
0.225,0.478,0.324,0.059,0.128,0.246
0.14,0.148,0.3,0.059,0.126,0.143
0.374,0.126,0.273,0.189,0.15,0.267
0.327,0.125,0.264,0.154,0.131,0.253
0.552,0.121,0.328,0.091,0.125,0.21
0.207,0.123,0.275,0.068,0.125,0.489
0.204,0.124,0.326,0.067,0.126,0.473
0.171,0.124,0.508,0.073,0.124,0.419
0.159,0.121,1.077,0.098,0.149,0.505
0.136,0.124,0.676,0.151,0.136,0.242
0.162,0.124,0.464,0.144,0.215,0.215
0.17,0.124,0.424,0.141,0.138,0.195
0.132,0.127,0.469,0.143,0.145,0.191
0.139,0.127,0.417,0.109,0.134,0.401
0.13,0.125,0.282,0.066,0.148,0.207
0.123,0.126,0.331,0.249,0.278,0.197
0.137,0.126,0.365,0.596,0.178,0.289
0.143,0.126,0.314,0.604,0.14,0.166
0.168,0.123,0.367,0.598,0.152,0.186
0.143,0.296,0.574,0.278,0.14,0.212
0.114,0.267,1.052,0.13,0.181,0.213
0.139,0.291,0.789,0.322,0.139,0.227
0.137,0.343,0.332,0.222,0.148,0.105
0.128,0.284,0.324,0.227,0.139,0.139
0.321,0.572,0.355,0.212,0.152,0.247
0.175,0.379,0.345,0.181,0.158,0.521
0.297,0.293,0.342,0.129,0.161,0.304
0.271,0.29,0.429,0.139,0.169,0.345
0.212,0.285,0.325,0.136,0.177,0.308
0.303,0.284,0.356,0.145,0.158,0.456
0.215,0.295,0.339,0.148,0.165,0.398
0.211,0.439,0.344,0.14,0.158,0.282
0.236,0.271,0.2,0.117,0.158,0.167
0.224,0.148,0.156,0.066,0.196,0.122
0.231,0.134,0.154,0.106,0.19,0.118
0.165,0.132,0.149,0.148,0.152,0.082
0.112,0.132,0.174,0.148,0.152,0.089
0.128,0.13,0.207,0.148,0.152,0.084
0.106,0.129,0.231,0.145,0.139,0.077
0.126,0.127,0.131,0.095,0.126,0.077
0.127,0.126,0.173,0.063,0.127,0.071
0.115,0.124,0.13,0.061,0.126,0.073
0.132,0.125,0.162,0.066,0.128,0.071
0.118,0.125,0.145,0.067,0.126,0.072
0.184,0.124,0.146,0.067,0.127,0.078
0.183,0.125,0.147,0.08,0.128,0.075
0.153,0.124,0.134,0.13,0.126,0.069
0.159,0.127,0.199,0.078,0.126,0.084
0.137,0.359,0.332,0.064,0.126,0.298
0.313,0.097,0.317,0.118,0.126,0.249
0.434,0.082,0.215,0.271,0.158,0.409
0.402,0.1,0.398,0.184,0.129,0.284
0.326,0.129,0.325,0.234,0.125,0.285
0.538,0.126,0.429,0.143,0.15,0.332
0.276,0.124,0.29,0.086,0.124,0.341
0.215,0.127,0.506,0.072,0.124,0.432
0.161,0.127,0.391,0.075,0.123,0.293
0.153,0.127,0.29,0.07,0.124,0.263
0.144,0.124,0.299,0.064,0.123,0.383
0.168,0.125,0.28,0.065,0.124,0.333
0.15,0.124,0.307,0.065,0.124,0.202
0.163,0.123,0.426,0.073,0.127,0.368
0.165,0.127,0.297,0.07,0.141,0.231
0.119,0.128,0.348,0.202,0.124,0.293
0.138,0.128,0.353,0.634,0.125,0.231
0.086,0.124,0.304,0.68,0.124,0.22
0.102,0.141,0.249,0.55,0.124,0.242
0.097,0.216,0.228,0.151,0.125,0.246
0.088,0.264,0.261,0.145,0.122,0.104
0.105,0.248,0.249,0.273,0.124,0.078
0.08,0.39,0.281,0.176,0.123,0.132
0.118,0.319,0.418,0.126,0.123,0.637
0.158,0.309,0.857,0.11,0.122,0.627
0.249,0.277,0.726,0.102,0.125,0.606
0.202,0.288,0.761,0.102,0.123,0.593
0.19,1.085,0.348,0.17,0.213,0.31
0.207,0.308,0.329,0.271,0.519,0.318
0.167,0.359,0.506,0.609,0.329,0.247
0.244,0.361,0.402,0.668,0.301,0.211
0.163,0.425,0.404,0.738,0.356,0.184
0.257,0.732,0.37,0.473,0.316,0.134
0.171,0.998,0.147,0.145,0.319,0.105
0.164,0.944,0.195,0.14,0.267,0.091
0.186,0.436,0.143,0.098,0.262,0.091
0.194,0.134,0.162,0.07,0.266,0.068
0.163,0.127,0.161,0.069,0.271,0.07
0.203,0.125,0.161,0.064,0.257,0.09
0.168,0.126,0.15,0.062,0.268,0.078
0.141,0.123,0.146,0.064,0.148,0.061
0.137,0.125,0.153,0.064,0.133,0.087
0.103,0.125,0.152,0.067,0.132,0.082
0.139,0.125,0.144,0.068,0.132,0.058
0.131,0.126,0.139,0.064,0.131,0.08
0.156,0.124,0.153,0.137,0.129,0.082
0.121,0.127,0.297,0.144,0.129,0.1
0.236,0.266,0.214,0.14,0.128,0.207
0.14,0.313,0.311,0.139,0.128,0.202
0.311,0.111,0.285,0.105,0.129,0.116
0.226,0.083,0.687,0.193,0.161,0.241
0.288,0.128,0.494,0.068,0.143,0.106
0.179,0.125,0.533,0.113,0.128,0.283
0.127,0.122,0.595,0.066,0.126,0.234
0.137,0.125,0.302,0.071,0.126,0.206
0.114,0.124,0.364,0.074,0.126,1.019
0.137,0.122,0.312,0.146,0.125,0.238
0.113,0.12,0.387,0.092,0.125,0.109
0.137,0.123,0.35,0.07,0.124,0.509
0.113,0.124,0.315,0.099,0.126,0.201
0.137,0.12,0.382,0.148,0.14,0.356
0.122,0.123,0.309,0.146,0.157,0.289
0.129,0.124,0.38,0.144,0.147,0.267
0.098,0.122,0.308,0.147,0.142,0.409
0.088,0.122,0.349,0.104,0.152,0.214
0.104,0.124,0.314,0.069,0.145,0.28
0.082,0.131,0.29,0.065,0.151,0.203
0.106,0.33,0.651,0.065,0.146,0.249
0.099,0.182,0.587,0.065,0.148,0.175
0.109,0.139,0.415,0.201,0.141,0.077
0.137,0.314,1.017,0.147,0.143,0.109
0.123,0.226,1.278,0.109,0.142,0.294
0.165,0.241,0.353,0.104,0.156,0.429
0.27,0.82,0.915,0.532,0.185,0.301
0.178,0.411,0.618,0.674,0.236,0.295
0.188,0.289,0.807,0.698,0.286,0.258
0.218,0.28,0.364,0.706,0.197,0.325
0.215,0.295,0.381,0.712,0.305,0.922
0.266,0.29,0.387,0.788,0.269,0.381
0.259,0.288,0.369,0.221,0.273,0.375
0.269,0.266,0.391,0.102,0.276,0.15
0.242,0.404,0.156,0.062,0.258,0.084
0.259,0.218,0.195,0.066,0.143,0.085
0.238,0.102,0.147,0.069,0.142,0.066
0.216,0.107,0.16,0.068,0.147,0.064
0.193,0.134,0.16,0.062,0.149,0.079
0.173,0.13,0.145,0.064,0.113,0.087
0.145,0.127,0.17,0.063,0.112,0.069
0.163,0.124,0.132,0.062,0.112,0.061
0.162,0.126,0.181,0.105,0.111,0.077
0.113,0.126,0.141,0.151,0.111,0.079
0.131,0.126,0.159,0.15,0.111,0.083
0.131,0.123,0.144,0.146,0.112,0.067
0.152,0.125,0.148,0.142,0.11,0.057
0.147,0.126,0.154,0.087,0.111,0.07
0.12,0.124,0.252,0.062,0.111,0.086
0.144,0.122,0.19,0.059,0.11,0.101
0.14,0.242,0.262,0.146,0.111,0.135
0.184,0.131,0.363,0.128,0.144,0.109
0.346,0.097,0.256,0.143,0.111,0.121
0.246,0.084,0.318,0.185,0.116,0.512
0.282,0.13,0.363,0.146,0.132,0.353
0.161,0.303,0.409,0.124,0.129,0.242
0.686,0.125,0.327,0.066,0.127,0.9
0.675,0.201,0.289,0.061,0.126,0.329
0.325,0.165,0.406,0.059,0.127,0.499
0.354,0.227,0.354,0.058,0.127,0.27
0.292,0.156,0.539,0.06,0.127,0.204
0.305,0.133,0.31,0.06,0.128,1.063
1.025,0.126,0.337,1.271,0.127,0.878
0.353,0.126,0.331,0.756,0.127,0.431
0.247,0.123,0.425,0.255,0.127,0.326
0.228,0.126,0.342,0.242,0.128,0.21
0.264,0.128,0.3,0.337,0.128,0.233
0.219,0.243,0.329,0.6,0.129,0.252
0.244,0.13,0.297,0.603,0.13,0.236
0.384,0.224,0.457,0.607,0.129,0.261
0.3,0.229,0.851,0.654,0.129,0.257
0.296,0.241,0.605,0.349,0.128,0.473
0.282,0.251,0.46,0.109,0.13,0.324
0.297,0.213,0.361,0.075,0.146,0.236
0.299,0.179,0.396,0.081,0.129,0.645
0.446,0.311,0.304,0.159,0.128,0.784
0.302,0.192,0.315,0.152,0.172,0.358
0.245,0.235,0.304,0.148,0.309,0.375
0.229,0.318,0.399,0.146,0.358,0.305
0.27,0.299,0.313,0.114,0.288,0.281
0.28,0.279,0.342,0.075,0.281,0.259
0.438,0.264,0.459,0.083,0.26,0.214
0.3,0.21,0.338,0.163,0.321,0.131
0.319,0.219,0.35,0.116,0.309,0.081
0.309,0.135,0.363,0.074,0.227,0.072
0.243,0.136,0.247,0.071,0.15,0.104
0.224,0.132,0.145,0.077,0.149,0.08
0.188,0.128,0.171,0.077,0.158,0.073
0.16,0.128,0.154,0.076,0.159,0.091
0.155,0.124,0.16,0.134,0.165,0.098
0.171,0.125,0.153,0.154,0.157,0.065
0.151,0.125,0.151,0.152,0.155,0.079
0.172,0.123,0.161,0.153,0.137,0.092
0.163,0.126,0.13,0.145,0.131,0.082
0.196,0.126,0.157,0.076,0.132,0.059
0.172,0.126,0.156,0.072,0.132,0.082
0.147,0.124,0.292,0.07,0.132,0.09
0.11,0.126,0.259,0.069,0.13,0.105
0.134,0.126,0.221,0.068,0.134,0.154
0.133,0.1,0.235,0.069,0.166,0.11
0.134,0.08,0.428,0.07,0.133,0.119
0.111,0.084,0.384,0.234,0.132,0.358
0.139,0.129,0.628,0.068,0.13,0.397
0.272,0.234,0.558,0.08,0.13,0.221
0.168,0.259,0.586,0.149,0.13,0.216
0.239,0.171,0.828,0.152,0.13,0.227
0.191,0.145,0.454,0.22,0.128,0.224
0.193,0.139,1.014,0.157,0.127,0.291
0.28,0.127,0.333,0.18,0.139,0.389
0.272,0.126,0.302,0.188,0.14,0.237
0.644,0.241,0.328,0.24,0.22,0.203
0.298,0.298,0.289,0.211,0.21,0.332
0.283,0.213,0.526,0.135,0.155,0.274
0.535,0.639,0.33,0.116,0.142,0.244
0.866,0.652,0.563,0.114,0.141,0.229
0.362,0.252,1.019,0.18,0.143,0.297
0.549,0.344,0.831,0.189,0.165,0.251
0.355,0.437,0.871,0.231,0.149,0.249
0.409,0.351,2.199,0.252,0.234,0.279
0.361,0.264,1.162,0.273,0.386,0.508
0.233,0.279,0.44,0.119,0.407,0.474
0.22,0.276,0.368,0.071,0.428,0.51
0.235,0.27,0.329,0.075,0.412,0.271
0.295,0.693,0.348,0.08,0.476,0.216
0.244,0.859,0.31,0.07,0.42,0.343
0.254,0.949,0.368,0.068,0.408,0.431
0.332,0.266,0.307,0.072,0.392,0.284
0.297,0.214,0.354,0.074,0.393,0.341
0.245,0.944,0.329,0.113,0.46,0.253
0.231,0.493,0.321,0.154,0.592,0.162
0.258,0.261,0.187,0.161,0.399,0.162
0.231,0.193,0.138,0.202,0.329,0.126
0.174,0.156,0.181,0.151,0.394,0.086
0.157,0.138,0.128,0.079,0.38,0.062
0.119,0.13,0.177,0.072,0.381,0.091
0.123,0.131,0.135,0.075,0.378,0.082
0.137,0.13,0.177,0.078,0.308,0.066
0.129,0.128,0.142,0.073,0.183,0.074
0.13,0.125,0.141,0.071,0.14,0.092
0.106,0.126,0.173,0.071,0.14,0.066
0.161,0.126,0.128,0.075,0.142,0.067
0.176,0.126,0.158,0.077,0.141,0.104
0.142,0.126,0.187,0.131,0.141,0.106
0.161,0.124,0.225,0.153,0.139,0.157
0.259,0.127,0.21,0.149,0.139,0.113
0.404,0.294,0.373,0.147,0.139,0.236
0.23,0.127,0.26,0.15,0.14,0.168
0.188,0.124,0.374,0.205,0.167,0.323
0.193,0.123,0.369,0.089,0.146,0.278
0.166,0.125,0.282,0.164,0.132,0.252
0.153,0.125,0.48,0.067,0.134,0.237
0.16,0.125,0.45,0.072,0.133,0.197
0.151,0.265,0.333,0.073,0.134,1.079
0.172,0.203,0.295,0.069,0.133,0.299
0.161,0.902,0.4,0.066,0.134,0.402
0.356,0.192,0.3,0.068,0.131,0.432
0.461,0.68,0.303,0.131,0.132,0.533
0.281,1.271,0.307,0.157,0.133,0.302
0.309,1.03,0.412,0.149,0.139,0.277
0.222,0.54,0.34,0.146,0.163,0.214
0.258,0.296,0.298,0.228,0.163,0.23
0.159,0.345,0.522,0.125,0.154,0.277
0.163,0.62,0.769,0.116,0.224,0.195
0.155,0.509,0.638,0.09,0.151,0.126
0.127,0.969,0.407,0.069,0.162,0.292
0.132,1.465,0.483,0.067,0.256,0.23
0.138,0.873,0.365,0.098,0.157,0.158
0.156,0.399,0.633,0.24,0.155,0.176
0.14,0.458,0.631,0.138,0.155,0.143
0.137,0.946,0.941,0.201,0.241,0.235
0.115,1.026,0.332,0.212,0.155,0.301
0.159,0.314,0.353,0.216,0.151,0.532
0.137,0.25,0.343,0.282,0.143,0.309
0.208,0.248,0.319,0.435,0.141,0.478
0.236,0.251,0.439,0.654,0.202,0.577
0.257,0.248,0.333,0.608,0.435,0.27
0.247,0.248,0.325,0.703,0.269,0.149
0.257,0.248,0.345,0.29,0.271,0.118
0.301,0.241,0.259,0.072,0.265,0.116
0.273,0.205,0.176,0.069,0.216,0.078
0.28,0.183,0.13,0.063,0.19,0.079
0.247,0.205,0.18,0.063,0.176,0.105
0.165,0.207,0.139,0.065,0.148,0.077
0.164,0.187,0.174,0.142,0.15,0.068
0.185,0.16,0.139,0.152,0.155,0.115
0.163,0.137,0.156,0.145,0.148,0.126
0.164,0.134,0.14,0.143,0.149,0.138
0.166,0.133,0.151,0.138,0.149,0.119
0.184,0.133,0.154,0.071,0.148,0.106
0.162,0.132,0.126,0.069,0.15,0.089
0.161,0.132,0.158,0.062,0.17,0.065
0.169,0.139,0.129,0.063,0.116,0.083
0.271,0.342,0.292,0.061,0.115,0.088
0.362,0.115,0.284,0.068,0.112,0.206
0.177,0.231,0.239,0.068,0.114,0.129
0.277,0.119,0.282,0.186,0.145,0.395
0.188,0.143,0.285,0.093,0.111,0.271
0.63,0.141,0.54,0.239,0.111,0.245
0.262,0.139,0.431,0.158,0.11,0.202
0.252,0.137,0.46,0.155,0.113,0.343
0.22,0.135,0.356,0.144,0.113,0.325
0.186,0.133,0.302,0.181,0.114,0.519
0.184,0.134,0.439,0.133,0.114,0.292
